SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
516106,SH.KARTHIK P,X ,Q,17.40,17.40,14.60,15.90,15.93,15.59,24,4381,70171.00,
516108,S.I.PAPER   ,XT,Q,102.00,102.00,99.00,99.15,99.00,102.00,20,3979,403002.00,
516110,SCANDENT    ,X ,Q,16.50,16.50,15.10,15.10,15.10,15.85,3,36,553.00,
517015,VINDHYA TELE,B ,Q,1044.10,1045.00,1017.95,1021.00,1020.00,1051.60,50,637,656309.00,
517035,RUTTONSHA IN,X ,Q,42.00,49.75,41.10,42.75,42.75,41.75,17,1098,46867.00,
517041,ADORWELDING ,B ,Q,344.15,354.95,344.15,349.45,352.45,341.60,8,47,16374.00,
517059,SALZER ELEC ,B ,Q,188.10,191.50,188.05,190.05,190.05,189.10,17,801,151903.00,
517063,JETINFOTRAN ,X ,Q,62.25,62.25,52.30,55.75,55.75,57.35,11,29,1635.00,
517080,HIGHGROUND  ,B ,Q,13.73,14.08,13.25,13.31,13.30,13.85,169,183292,2461533.00,
517096,APLAB LTD.  ,XT,Q,18.00,18.95,18.00,18.95,18.95,18.05,4,416,7547.00,
517119,PCS TECH    ,X ,Q,15.95,16.00,15.05,15.30,15.30,15.60,29,3401,51727.00,
517140,MOSER BEAR  ,T ,Q,2.55,2.70,2.51,2.54,2.53,2.64,60,61371,157143.00,
517146,USHA MART.LT,B ,Q,32.30,33.00,30.70,31.25,31.25,29.50,4626,973110,30714454.00,
517164,ZENITH COMP.,X ,Q,1.00,1.00,0.98,0.98,0.98,1.00,2,38334,37567.00,
517166,SPEL SEMICON,X ,Q,10.33,11.39,9.86,10.82,10.82,9.99,79,14175,152844.00,
517168,SUBROS LTD. ,B ,Q,320.20,327.00,317.05,323.40,323.40,320.80,164,2394,772670.00,
517174,HONEYWELL   ,B ,Q,18300.00,18561.70,18186.00,18518.45,18498.00,18354.15,120,484,8896811.00,
517206,LUMAX IND   ,B ,Q,2247.35,2290.70,2239.65,2258.10,2255.00,2236.60,142,316,715827.00,
517214,SPICEMOBI   ,B ,Q,14.60,14.80,13.85,14.45,14.80,14.70,17,2189,31172.00,
517224,SUJANA INDUS,T ,Q,0.49,0.52,0.49,0.52,0.52,0.51,8,9017,4583.00,
517236,CALCOM VISIO,X ,Q,11.65,12.00,11.65,12.00,12.00,12.25,6,1679,19976.00,
517258,PRECISION EL,XT,Q,32.90,32.90,32.85,32.90,32.90,31.35,4,552,18160.00,
517264,FINELINE CI ,XT,Q,17.25,17.70,17.25,17.70,17.70,17.00,3,200,3495.00,
517271,HBL P SYS   ,B ,Q,36.25,37.50,35.90,37.20,37.20,36.20,230,33814,1247374.00,
517288,GUJARATPOLY ,X ,Q,15.35,15.35,14.00,15.35,15.35,14.65,7,2302,34729.00,
517300,GUJ.IND.POW.,B ,Q,94.00,94.15,89.25,93.00,93.45,94.45,330,11247,1041487.00,
517330,CMI LTD.    ,B ,Q,251.05,257.85,247.50,248.50,249.70,254.30,125,5086,1277968.00,
517334,MOTHERSON SS,A ,Q,314.50,314.95,309.00,311.65,311.65,310.50,2010,136180,42403761.00,
517344,MINDTECK (I),T ,Q,45.10,49.55,45.10,49.55,49.55,47.20,39,2112,104333.00,
517354,HAVELLSINDIA,A ,Q,558.05,561.40,552.20,557.60,557.60,558.40,520,25825,14386498.00,
517356,ACI INFOCOM ,XT,Q,2.88,2.88,2.88,2.88,2.88,2.88,2,17,48.00,
517370,INCAP LTD.  ,XT,Q,65.00,65.00,65.00,65.00,65.00,64.15,1,22,1430.00,
517372,GUJ.INTRUX  ,X ,Q,94.90,94.90,94.90,94.90,94.90,95.25,1,1,94.00,
517380,IGARSHI MOT ,B ,Q,714.05,749.00,704.65,730.10,725.00,709.40,416,1487,1064132.00,
517385,SYMPHONY    ,A ,Q,1393.75,1405.05,1391.95,1399.10,1392.00,1409.05,135,24020,33509517.00,
517411,SHYAM TELEC.,B ,Q,10.35,12.60,10.35,12.60,12.60,11.46,7,1504,18500.00,
517417,PATEL AIRTEM,X ,Q,151.10,160.00,151.10,153.25,153.20,155.95,42,2989,465247.00,
517421,BFLYGANDHI  ,B ,Q,383.40,394.80,381.05,394.80,394.80,376.00,51,821,322554.00,
517437,DUTRON POLY.,XT,Q,119.00,119.25,115.00,119.00,119.00,113.60,28,572,68061.00,
517447,R.S.SOFTWARE,B ,Q,42.25,45.00,41.85,43.45,43.00,41.50,232,20289,889654.00,
517449,MAGNA ELECTR,X ,Q,158.50,163.10,158.50,163.05,163.10,163.00,12,371,59606.00,
517467,MARSONS     ,XT,Q,2.52,2.52,2.34,2.52,2.52,2.40,14,4586,11201.00,
517477,ELNET TECH. ,X ,Q,130.00,130.00,123.00,123.20,123.20,123.55,16,363,45082.00,
517481,APTL        ,X ,Q,4.08,4.08,3.66,4.00,4.00,4.00,7,489,1791.00,
517498,WEBELSOLAR  ,B ,Q,52.70,55.80,52.70,53.55,53.30,54.05,476,55810,3015779.00,
517500,ROTO PUMPS  ,X ,Q,92.95,94.00,90.20,92.20,92.25,91.25,101,13377,1230974.00,
517506,TTK PRESTIGE,A ,Q,5964.60,5992.15,5900.00,5975.30,5979.95,5937.15,71,122,726414.00,
517514,DHINDIA     ,XT,Q,16.00,16.00,16.00,16.00,16.00,15.80,3,800,12800.00,
517518,LEEL        ,B ,Q,135.10,137.40,130.00,135.90,135.90,136.40,262,13611,1846560.00,
517522,RAJ GLO WIR ,X ,Q,600.00,607.00,590.00,601.60,607.00,604.60,26,965,580855.00,
517530,SURANATP    ,B ,Q,4.74,4.75,4.74,4.75,4.75,4.50,4,900,4274.00,
517536,ONWARD TECHN,B ,Q,85.25,87.35,84.60,86.65,86.55,86.70,30,5960,513760.00,
517544,CENTUM ELEC ,B ,Q,469.85,481.00,460.00,468.20,460.60,490.45,22,435,204191.00,
517546,ALFA TRANSFO,XT,Q,35.25,35.25,35.25,35.25,35.25,37.00,1,40,1410.00,
517548,STARLITE COM,X ,Q,28.30,29.00,27.55,28.30,28.30,27.85,406,46601,1302396.00,
517552,ADVANCED MIC,Z ,Q,7.40,7.40,7.25,7.31,7.35,7.37,22,327,2411.00,
517554,NHCFOODS    ,XT,Q,9.90,10.71,9.70,10.48,10.71,10.20,36,6368,65549.00,
517556,PVP VENT LTD,B ,Q,4.73,4.84,4.72,4.82,4.82,4.85,21,65692,315083.00,
517562,TRIGYN TECH ,B ,Q,124.45,125.15,120.00,121.35,121.35,124.35,185,14693,1794193.00,
517569,KEI INDUST. ,B ,Q,432.30,438.10,427.60,431.05,429.60,435.30,528,14881,6418482.00,
518011,KEERTHI     ,XT,Q,116.45,119.00,110.65,118.65,118.65,116.45,7,101,11463.00,
518029,GUJ.SIDH.CEM,B ,Q,32.90,33.40,31.75,32.15,32.15,33.05,45,4079,131815.00,
518091,ANJANI PORTL,B ,Q,182.00,182.00,176.50,178.00,178.00,182.00,14,455,80613.00,
519003,MODINATURAL ,X ,Q,93.00,100.00,93.00,96.90,100.00,93.00,15,1514,145543.00,
519091,TASTY BITE  ,B ,Q,7450.00,7500.00,7450.00,7453.45,7450.00,7444.20,19,94,701746.00,
519097,RITESH INTER,XT,Q,17.05,17.05,17.05,17.05,17.05,17.35,1,10,170.00,
519105,AVT NATURAL ,B ,Q,35.50,36.00,35.30,35.60,35.70,35.30,49,5649,201749.00,
519126,HIND.FOODS  ,X ,Q,350.00,350.00,338.00,340.05,339.30,346.40,61,5103,1744615.00,
519136,NAHAR INDUST,B ,Q,67.65,69.05,67.15,68.45,68.90,66.90,36,3355,229366.00,
519156,VADILAL IND ,B ,Q,730.05,739.90,720.55,728.95,736.80,730.10,74,2600,1894793.00,
519183,ADF FOODS LT,B ,Q,249.60,259.55,249.55,258.20,258.20,249.70,378,14607,3711943.00,
519216,AJANTA SOYA ,X ,Q,44.20,44.20,40.55,41.45,41.30,42.95,55,7657,318307.00,
519224,WILLIAM.MAGO,B ,Q,70.00,75.00,70.00,74.00,74.00,75.10,7,279,20742.00,
519248,JVL AGRO    ,B ,Q,20.90,21.35,20.05,20.80,20.65,20.60,119,31365,645095.00,
519260,SANWARIA    ,B ,Q,14.50,14.50,13.65,13.70,13.70,14.20,558,371443,5158529.00,
519262,PRIMA AGRO L,XT,Q,23.50,25.10,23.50,25.10,25.10,23.95,13,8899,221147.00,
519287,MODERN DAIRI,XT,Q,5.56,5.80,5.56,5.80,5.80,5.85,9,3057,17527.00,
519295,BAMBINO AGRO,X ,Q,195.00,200.00,190.05,190.75,190.75,194.10,11,583,112953.00,
519307,VIKAS WSP   ,X ,Q,13.05,13.05,12.55,12.61,12.61,12.77,152,87811,1112369.00,
519359,POONA DAL   ,X ,Q,43.35,44.45,43.35,44.45,44.45,43.35,3,150,6557.00,
519383,ANIK INDS   ,T ,Q,31.05,32.45,31.05,32.40,32.40,32.00,10,979,31397.00,
519421,KSE LIMITED ,XT,Q,3675.05,3839.00,3670.00,3685.00,3670.00,3743.90,150,2029,7610588.00,
519439,PIONEER AGRO,X ,Q,7.99,7.99,7.99,7.99,7.99,7.99,1,1,7.00,
519455,NARBADA     ,X ,Q,28.90,28.90,28.50,28.50,28.50,27.55,13,2531,72953.00,
519457,VIRAT CRANE ,X ,Q,48.00,53.50,47.00,51.00,51.00,51.50,12,321,15616.00,
519463,IB INFOTECH ,XT,Q,13.00,13.60,13.00,13.25,13.25,13.17,6,1002,13438.00,
519475,CHORDIA FOOD,X ,Q,139.75,142.60,134.00,135.00,140.00,136.00,22,1644,226118.00,
519483,TAI INDUST. ,XT,Q,14.05,14.05,12.80,13.25,13.25,13.40,4,101,1306.00,
519491,OCEAN AGRO  ,X ,Q,25.30,28.50,25.05,26.55,26.10,26.00,38,4520,122065.00,
519494,N K INDUST. ,B ,Q,50.00,53.75,45.05,45.70,46.00,48.40,21,8250,420567.00,
519552,HERITGFOOD  ,B ,Q,701.25,701.25,686.00,688.85,688.85,701.80,17,136,94918.00,
519560,NEHA INTER. ,X ,Q,5.51,5.90,5.50,5.53,5.59,5.89,41,19415,109673.00,
519566,SIMRAN FARMS,XT,Q,85.05,85.05,81.50,81.95,82.00,81.00,60,8840,741228.00,
519570,LAKSHMI OVER,B ,Q,15.60,15.95,14.80,14.81,15.05,15.57,33,5851,88298.00,
519600,CCL PRODUCTS,B ,Q,285.00,288.00,282.05,284.20,285.00,284.65,46,2508,714561.00,
519602,KELLTONTEC  ,B ,Q,54.85,54.90,53.80,54.10,54.20,54.90,40,3967,214573.00,
519612,MAHAAN FOODS,X ,Q,16.90,16.90,16.90,16.90,16.90,17.65,1,1,16.00,
520008,RICO AUTO   ,B ,Q,74.50,74.75,74.00,74.45,74.40,74.05,168,20289,1511950.00,
520021,OMAX AUTOS. ,T ,Q,169.60,169.60,169.60,169.60,169.60,161.55,80,15699,2662550.00,
520043,MUNJAL SHOWA,B ,Q,244.50,249.95,241.00,244.15,243.10,243.60,83,2732,667304.00,
520051,JAMNA AUTO  ,B ,Q,94.20,95.75,93.70,95.05,95.05,93.50,1458,242053,22961636.00,
520056,SUNDAR.CLAY ,B ,Q,4400.00,4400.00,4340.00,4350.60,4350.00,4399.00,11,25,108816.00,
